Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
Lunegarde,Occitanie,Lot,Chateau,18e siecle,44.6901998792, 1.68611628662
"Trevien,Occitanie,Tarn,Chateau,15e siecle;16e siecle;18e siecle,44.0940477464, 2.11695824996"
"Labruguiere,Occitanie,Tarn,Chateau,4e quart 16e siecle;17e siecle,43.5406862729, 2.26358735752"
"Mostuejouls,Occitanie,Aveyron,Chateau,13e siecle;15e siecle;17e siecle;18e siecle,44.2037573033, 3.18362235614"
"Mansencome,Occitanie,Gers,Chateau,4e quart 13e siecle;14e siecle,43.873372, 0.330151"
"Sarremezan,Occitanie,Haute-Garonne,Chateau,15e siecle;18e siecle,43.207064, 0.659919"
"Caudeval,Occitanie,Aude,Chateau,13e siecle;17e siecle;18e siecle,43.0755541033, 1.97408182784"
Gaujac,Occitanie,Gard,Chateau,17e siecle,44.0787426859, 4.57809912936
"Saint-Felix-Lauragais,Occitanie,Haute-Garonne,Chateau,13e siecle;14e siecle,43.4485714536, 1.88968600414"
"Ferrieres,Occitanie,Tarn,Chateau,11e siecle;2e moitie 16e siecle,43.6573246479, 2.44366803742"
"Castelnau-Pegayrols,Occitanie,Aveyron,Chateau,11e siecle;15e siecle;18e siecle,44.1294885767, 2.9326010292"
"Pezenes-les-Mines,Occitanie,Herault,Chateau,14e siecle;16e siecle;17e siecle,43.5890102238, 3.25193838109"
"Feneyrols,Occitanie,Tarn-et-Garonne,Chateau,13e siecle;14e siecle,44.1300704336, 1.82070360043"
Villebrumier,Occitanie,Tarn-et-Garonne,Chateau,19e siecle,43.906622777, 1.4499889762
Sainte-Eulalie-d'Olt,Occitanie,Aveyron,Chateau,2e moitie 15e siecle,44.4641001779, 2.9461369062
"Avezan,Occitanie,Gers,Chateau,13e siecle;15e siecle;17e siecle;18e siecle,43.876217, 0.796422"
"Espanes,Occitanie,Haute-Garonne,Chateau,4e quart 16e siecle;17e siecle,43.4530611803, 1.48858301637"
Jonquieres,Occitanie,Herault,Chateau,3e quart 17e siecle,43.6759578673, 3.47472311053
Mas-d'Auvignon,Occitanie,Gers,Chateau,4e quart 13e siecle,43.891079, 0.504753
Saint-Elix-le-Chateau,Occitanie,Haute-Garonne,Chateau,2e quart 16e siecle,43.2780041927, 1.13266995363
"Lacroix-Falgarde,Occitanie,Haute-Garonne,Chateau,16e siecle;17e siecle,43.507303562, 1.41059636136"
Tostat,Occitanie,Hautes-Pyrenees,Chateau,3e quart 18e siecle,43.330478, 0.108479
Vendres,Occitanie,Herault,Chateau,13e siecle,43.2696113469, 3.22475069929
"Pegairolles-de-l'Escalette,Occitanie,Herault,Chateau,12e siecle;17e siecle,43.8029225479, 3.32258223378"
Sanvensa,Occitanie,Aveyron,Chateau,4e quart 16e siecle,44.2926136224, 2.04532615558
Fourques,Occitanie,Gard,Chateau,Moyen Age,43.694292843, 4.61181998456
"Ledenon,Occitanie,Gard,Chateau,12e siecle;13e siecle;15e siecle;18e siecle,43.9180977808, 4.50726365174"
Sardan,Occitanie,Gard,Chateau,2e quart 19e siecle,43.8728644498, 4.04174728788
"Fonbeauzard,Occitanie,Haute-Garonne,Chateau,18e siecle;19e siecle,43.6797512918, 1.44450997855"
Lacaze,Occitanie,Tarn,Chateau,17e siecle,43.737418543, 2.52029224305
